score,r_alignment_reward,w_alignment_reward,active_alignment_reward,r_approach_reward,w_approach_reward,active_approach_reward,r_contact_reward,w_contact_reward,active_contact_reward,r_grasp_reward,w_grasp_reward,active_grasp_reward,r_height_reward,w_height_reward,active_height_reward,r_lift_reward,w_lift_reward,active_lift_reward,r_stability_reward,w_stability_reward,active_stability_reward,r_stack_bonus,w_stack_bonus,active_stack_bonus,r_stack_reward,w_stack_reward,active_stack_reward,r_success_reward,w_success_reward,active_success_reward,r_vertical_alignment,w_vertical_alignment,active_vertical_alignment,r_vertical_reward,w_vertical_reward,active_vertical_reward,env_id,seed
0.083,,0,0,,0.1,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,2.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.0752,,0,0,,0.1,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.0791,,0,0,,0.5,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,2.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.0674,,0,0,,0.5,1,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.1499,,0,0,,0.1,1,,0.5,1,,0.05,1,,0,0,,0,0,,0,0,,2.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.0762,,0,0,,0.1,1,,0.5,1,,0.05,1,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.0962,,0,0,,0.5,1,,0.5,1,,0.05,1,,0,0,,0,0,,0,0,,2.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.3149,,0,0,,0.5,1,,0.5,1,,0.05,1,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.1377,,0,0,,0.1,1,,0.1,1,,0.5,1,,0,0,,0,0,,0,0,,2.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
0.1416,,0,0,,0.1,1,,0.1,1,,0.5,1,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_block_stack,42
