score,r_alignment_reward,w_alignment_reward,active_alignment_reward,r_bottle_hold_reward,w_bottle_hold_reward,active_bottle_hold_reward,r_bottle_vel_reward,w_bottle_vel_reward,active_bottle_vel_reward,r_cap_distance_reward,w_cap_distance_reward,active_cap_distance_reward,r_cap_goal_reward,w_cap_goal_reward,active_cap_goal_reward,r_cap_grasp_reward,w_cap_grasp_reward,active_cap_grasp_reward,r_cap_height_reward,w_cap_height_reward,active_cap_height_reward,r_cap_opening_reward,w_cap_opening_reward,active_cap_opening_reward,r_cap_orientation_reward,w_cap_orientation_reward,active_cap_orientation_reward,r_cap_progress_reward,w_cap_progress_reward,active_cap_progress_reward,r_cap_up_reward,w_cap_up_reward,active_cap_up_reward,r_finger_coord_reward,w_finger_coord_reward,active_finger_coord_reward,r_finger_distance_reward,w_finger_distance_reward,active_finger_distance_reward,r_finger_grasp_reward,w_finger_grasp_reward,active_finger_grasp_reward,r_finger_reward,w_finger_reward,active_finger_reward,r_goal_pos_reward,w_goal_pos_reward,active_goal_pos_reward,r_goal_rot_reward,w_goal_rot_reward,active_goal_rot_reward,r_hand_dist_reward,w_hand_dist_reward,active_hand_dist_reward,r_left_hand_reward,w_left_hand_reward,active_left_hand_reward,r_lift_reward,w_lift_reward,active_lift_reward,r_right_hand_reward,w_right_hand_reward,active_right_hand_reward,r_rotation_reward,w_rotation_reward,active_rotation_reward,r_separation_reward,w_separation_reward,active_separation_reward,r_stability_penalty,w_stability_penalty,active_stability_penalty,r_stability_reward,w_stability_reward,active_stability_reward,r_success_reward,w_success_reward,active_success_reward,r_vel_penalty,w_vel_penalty,active_vel_penalty,env_id,seed
0.4312,,0,0,,0,0,,0.05,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_bottle_cap,42
0.166,,0,0,,0,0,,0.05,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_bottle_cap,42
0.312,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_bottle_cap,42
0.0244,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_bottle_cap,42
0.2681,,0,0,,0,0,,0.05,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_bottle_cap,42
0.2051,,0,0,,0,0,,0.05,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_bottle_cap,42
0.0312,,0,0,,0,0,,1.0,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_bottle_cap,42
0.5532,,0,0,,0,0,,1.0,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_bottle_cap,42
0.207,,0,0,,0,0,,0.05,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_bottle_cap,42
0.0347,,0,0,,0,0,,0.05,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.2,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_bottle_cap,42
