score,r_force_reward,w_force_reward,active_force_reward,r_grasp_reward,w_grasp_reward,active_grasp_reward,r_hand_balance_reward,w_hand_balance_reward,active_hand_balance_reward,r_hand_dist_reward,w_hand_dist_reward,active_hand_dist_reward,r_hand_switch_bonus,w_hand_switch_bonus,active_hand_switch_bonus,r_handover_reward,w_handover_reward,active_handover_reward,r_height_reward,w_height_reward,active_height_reward,r_object_pos_reward,w_object_pos_reward,active_object_pos_reward,r_orientation_penalty,w_orientation_penalty,active_orientation_penalty,r_orientation_reward,w_orientation_reward,active_orientation_reward,r_pos_reward,w_pos_reward,active_pos_reward,r_progress_reward,w_progress_reward,active_progress_reward,r_rotation_penalty,w_rotation_penalty,active_rotation_penalty,r_rotation_reward,w_rotation_reward,active_rotation_reward,r_smooth_reward,w_smooth_reward,active_smooth_reward,r_stability_reward,w_stability_reward,active_stability_reward,r_success_reward,w_success_reward,active_success_reward,r_transfer_reward,w_transfer_reward,active_transfer_reward,r_vel_reward,w_vel_reward,active_vel_reward,env_id,seed
0.748,,0,0,,0,0,,0,0,,0.02,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.005,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.6719,,0,0,,0,0,,0,0,,0.02,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.01,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.0054,,0,0,,0,0,,0,0,,0.02,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.1,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.7231,,0,0,,0,0,,0,0,,0.02,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,1.0,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.5913,,0,0,,0,0,,0,0,,0.02,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,10.0,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.01,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.1,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,1.0,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,10.0,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.01,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.1,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,1.0,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,10.0,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.0049,,0,0,,0,0,,0,0,,0.02,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.005,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.2612,,0,0,,0,0,,0,0,,0.02,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.01,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.8125,,0,0,,0,0,,0,0,,0.02,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
0.4316,,0,0,,0,0,,0,0,,0.02,1,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,1.0,1,,0,0,,0,0,,0,0,,0.01,1,shadow_hand_catch_underarm,42
