score,r_backward_movement_penalty,w_backward_movement_penalty,active_backward_movement_penalty,r_door_angle_reward,w_door_angle_reward,active_door_angle_reward,r_door_angular_movement_reward,w_door_angular_movement_reward,active_door_angular_movement_reward,r_door_close_reward,w_door_close_reward,active_door_close_reward,r_door_displacement_reward,w_door_displacement_reward,active_door_displacement_reward,r_door_movement_reward,w_door_movement_reward,active_door_movement_reward,r_door_progress_reward,w_door_progress_reward,active_door_progress_reward,r_door_rotation_reward,w_door_rotation_reward,active_door_rotation_reward,r_fingertip_to_handle_reward,w_fingertip_to_handle_reward,active_fingertip_to_handle_reward,r_hand_close_reward,w_hand_close_reward,active_hand_close_reward,r_hand_force_reward,w_hand_force_reward,active_hand_force_reward,r_hand_to_handle_reward,w_hand_to_handle_reward,active_hand_to_handle_reward,r_incremental_progress_reward,w_incremental_progress_reward,active_incremental_progress_reward,r_object_push_reward,w_object_push_reward,active_object_push_reward,r_push_reward,w_push_reward,active_push_reward,r_success_reward,w_success_reward,active_success_reward,r_task_completion_reward,w_task_completion_reward,active_task_completion_reward,env_id,seed
0.9995,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_door_close_inward,42
1.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_door_close_inward,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_door_close_inward,42
1.0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_door_close_inward,42
0.9966,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_door_close_inward,42
0.9966,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_door_close_inward,42
1.0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_door_close_inward,42
1.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_door_close_inward,42
0.999,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_door_close_inward,42
0.9912,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,shadow_hand_door_close_inward,42
0.9917,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_door_close_inward,42
0.9976,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,20.0,1,,0,0,shadow_hand_door_close_inward,42
1.0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,shadow_hand_door_close_inward,42
1.0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_door_close_inward,42
0.9956,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,20.0,1,,0,0,shadow_hand_door_close_inward,42
1.0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,shadow_hand_door_close_inward,42
0.9927,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_door_close_inward,42
0.9922,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,20.0,1,,0,0,shadow_hand_door_close_inward,42
1.0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,shadow_hand_door_close_inward,42
1.0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_door_close_inward,42
0.9955,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,20.0,1,,0,0,shadow_hand_door_close_inward,42
