score,r_alignment_reward,w_alignment_reward,active_alignment_reward,r_angular_velocity_reward,w_angular_velocity_reward,active_angular_velocity_reward,r_approach_reward,w_approach_reward,active_approach_reward,r_closing_reward,w_closing_reward,active_closing_reward,r_contact_reward,w_contact_reward,active_contact_reward,r_coordination_reward,w_coordination_reward,active_coordination_reward,r_finger_reward,w_finger_reward,active_finger_reward,r_goal_reward,w_goal_reward,active_goal_reward,r_grasp_reward,w_grasp_reward,active_grasp_reward,r_hand_pull_reward,w_hand_pull_reward,active_hand_pull_reward,r_handle_grasp_reward,w_handle_grasp_reward,active_handle_grasp_reward,r_object_position_reward,w_object_position_reward,active_object_position_reward,r_orientation_reward,w_orientation_reward,active_orientation_reward,r_progress_reward,w_progress_reward,active_progress_reward,r_rotation_reward,w_rotation_reward,active_rotation_reward,r_stability_reward,w_stability_reward,active_stability_reward,r_success_bonus,w_success_bonus,active_success_bonus,r_velocity_penalty,w_velocity_penalty,active_velocity_penalty,r_velocity_reward,w_velocity_reward,active_velocity_reward,env_id,seed
0.284,,0,0,,0,0,,8.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,,0,0,shadow_hand_door_close_outward,42
0.113,,0,0,,0,0,,8.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.5,1,,0.1,1,,0,0,shadow_hand_door_close_outward,42
0.0526,,0,0,,0,0,,8.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0.1,1,,0,0,shadow_hand_door_close_outward,42
0.0519,,0,0,,0,0,,8.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0.5,1,,0,0,shadow_hand_door_close_outward,42
0.2226,,0,0,,0,0,,8.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,shadow_hand_door_close_outward,42
0.0337,,0,0,,0,0,,8.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0.5,1,,0,0,shadow_hand_door_close_outward,42
0.6605,,0,0,,0,0,,8.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,shadow_hand_door_close_outward,42
0.2549,,0,0,,0,0,,8.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.5,1,,1.0,1,,0,0,shadow_hand_door_close_outward,42
0.1695,,0,0,,0,0,,8.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,1.0,1,,0,0,shadow_hand_door_close_outward,42
0.2567,,0,0,,0,0,,2.0,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0.5,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,,0,0,shadow_hand_door_close_outward,42
