score,r_approach_reward,w_approach_reward,active_approach_reward,r_close_reward,w_close_reward,active_close_reward,r_grasp_reward,w_grasp_reward,active_grasp_reward,r_move_bonus,w_move_bonus,active_move_bonus,r_move_reward,w_move_reward,active_move_reward,r_movement_penalty,w_movement_penalty,active_movement_penalty,r_object_angle_reward,w_object_angle_reward,active_object_angle_reward,r_object_velocity_reward,w_object_velocity_reward,active_object_velocity_reward,r_open_reward,w_open_reward,active_open_reward,r_progress_reward,w_progress_reward,active_progress_reward,r_stability_reward,w_stability_reward,active_stability_reward,r_success_bonus,w_success_bonus,active_success_bonus,r_success_reward,w_success_reward,active_success_reward,r_velocity_penalty,w_velocity_penalty,active_velocity_penalty,r_velocity_reward,w_velocity_reward,active_velocity_reward,env_id,seed
0.2672,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,1.0,1,,0,0,,0,0,,0.5,1,shadow_hand_door_open_outward,42
0.0005,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,0.5,1,,0,0,,0,0,,0.5,1,shadow_hand_door_open_outward,42
0.0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,5.0,1,,0,0,,0,0,,0.5,1,shadow_hand_door_open_outward,42
0.9966,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,1.0,1,,0,0,,0,0,,0.1,1,shadow_hand_door_open_outward,42
0.9834,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,0.5,1,,0,0,,0,0,,0.1,1,shadow_hand_door_open_outward,42
0.9441,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,5.0,1,,0,0,,0,0,,0.1,1,shadow_hand_door_open_outward,42
0.9852,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,shadow_hand_door_open_outward,42
0.0903,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,0.5,1,,0,0,,0,0,,1.0,1,shadow_hand_door_open_outward,42
0.8611,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,5.0,1,,0,0,,0,0,,1.0,1,shadow_hand_door_open_outward,42
0.6337,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,1.0,1,,0,0,,0,0,,0.5,1,shadow_hand_door_open_outward,42
0.8865,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,0.5,1,,0,0,,0,0,,0.5,1,shadow_hand_door_open_outward,42
0.2718,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,5.0,1,,0,0,,0,0,,0.5,1,shadow_hand_door_open_outward,42
0.7416,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,1.0,1,,0,0,,0,0,,0.1,1,shadow_hand_door_open_outward,42
0.9854,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,0.5,1,,0,0,,0,0,,0.1,1,shadow_hand_door_open_outward,42
0.5118,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,5.0,1,,0,0,,0,0,,0.1,1,shadow_hand_door_open_outward,42
0.9689,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,shadow_hand_door_open_outward,42
0.9521,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,0,0,,0.5,1,,0,0,,0,0,,1.0,1,shadow_hand_door_open_outward,42
