score,r_air_time_reward,w_air_time_reward,active_air_time_reward,r_approach_reward,w_approach_reward,active_approach_reward,r_completion_bonus,w_completion_bonus,active_completion_bonus,r_contact_penalty,w_contact_penalty,active_contact_penalty,r_handover_reward,w_handover_reward,active_handover_reward,r_height_reward,w_height_reward,active_height_reward,r_orientation_reward,w_orientation_reward,active_orientation_reward,r_position_reward,w_position_reward,active_position_reward,r_progress_reward,w_progress_reward,active_progress_reward,r_proximity_reward,w_proximity_reward,active_proximity_reward,r_rotation_penalty,w_rotation_penalty,active_rotation_penalty,r_stability_reward,w_stability_reward,active_stability_reward,r_throw_reward,w_throw_reward,active_throw_reward,r_velocity_reward,w_velocity_reward,active_velocity_reward,env_id,seed
0.9364,,0,0,,0,0,,0,0,,5.0,1,,0,0,,8.0,1,,10.0,1,,15.0,1,,3.0,1,,0,0,,0,0,,5.0,1,,8.0,1,,0,0,shadow_hand_over,42
0.9477,,0,0,,0,0,,0,0,,1.0,1,,0,0,,8.0,1,,10.0,1,,15.0,1,,3.0,1,,0,0,,0,0,,5.0,1,,8.0,1,,0,0,shadow_hand_over,42
0.9481,,0,0,,0,0,,0,0,,10.0,1,,0,0,,8.0,1,,10.0,1,,15.0,1,,3.0,1,,0,0,,0,0,,5.0,1,,8.0,1,,0,0,shadow_hand_over,42
0.9437,,0,0,,0,0,,0,0,,5.0,1,,0,0,,8.0,1,,10.0,1,,15.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,8.0,1,,0,0,shadow_hand_over,42
0.92,,0,0,,0,0,,0,0,,1.0,1,,0,0,,8.0,1,,10.0,1,,15.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,8.0,1,,0,0,shadow_hand_over,42
0.96,,0,0,,0,0,,0,0,,10.0,1,,0,0,,8.0,1,,10.0,1,,15.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,8.0,1,,0,0,shadow_hand_over,42
0.9031,,0,0,,0,0,,0,0,,5.0,1,,0,0,,8.0,1,,10.0,1,,15.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,8.0,1,,0,0,shadow_hand_over,42
0.0011,,0,0,,0,0,,0,0,,1.0,1,,0,0,,8.0,1,,10.0,1,,15.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,8.0,1,,0,0,shadow_hand_over,42
0.9347,,0,0,,0,0,,0,0,,10.0,1,,0,0,,8.0,1,,10.0,1,,15.0,1,,10.0,1,,0,0,,0,0,,10.0,1,,8.0,1,,0,0,shadow_hand_over,42
0.9211,,0,0,,0,0,,0,0,,5.0,1,,0,0,,8.0,1,,5.0,1,,15.0,1,,3.0,1,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,shadow_hand_over,42
