score,r_action_reward,w_action_reward,active_action_reward,r_completion_bonus,w_completion_bonus,active_completion_bonus,r_grasp_reward,w_grasp_reward,active_grasp_reward,r_opposite_pull_reward,w_opposite_pull_reward,active_opposite_pull_reward,r_position_reward,w_position_reward,active_position_reward,r_pull_reward,w_pull_reward,active_pull_reward,r_separation_progress_bonus,w_separation_progress_bonus,active_separation_progress_bonus,r_separation_progress_reward,w_separation_progress_reward,active_separation_progress_reward,r_separation_reward,w_separation_reward,active_separation_reward,r_separation_velocity_reward,w_separation_velocity_reward,active_separation_velocity_reward,r_stability_reward,w_stability_reward,active_stability_reward,r_success_bonus,w_success_bonus,active_success_bonus,env_id,seed
0.0249,,0.01,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0391,,0.05,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0195,,0.1,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0293,,0.01,1,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0244,,0.05,1,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0977,,0.01,1,,0,0,,10.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0869,,0.05,1,,0,0,,10.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0293,,0.1,1,,0,0,,10.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0142,,0.01,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,shadow_hand_pen,42
0.0132,,0.05,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,shadow_hand_pen,42
0.0273,,0.1,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,shadow_hand_pen,42
0.0049,,0.01,1,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,shadow_hand_pen,42
0.0278,,0.05,1,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,shadow_hand_pen,42
0.0088,,0.1,1,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,shadow_hand_pen,42
0.0244,,0.01,1,,0,0,,10.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,shadow_hand_pen,42
0.0049,,0.05,1,,0,0,,10.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,shadow_hand_pen,42
0.0151,,0.1,1,,0,0,,10.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,1.0,1,,0,0,shadow_hand_pen,42
0.0356,,0.01,1,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,40.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0303,,0.05,1,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,40.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0332,,0.1,1,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,40.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0215,,0.01,1,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,40.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0464,,0.05,1,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,40.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0571,,0.1,1,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,40.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0508,,0.01,1,,0,0,,5.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,40.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0576,,0.1,1,,0,0,,5.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,40.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0352,,0.01,1,,0,0,,20.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0293,,0.05,1,,0,0,,20.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0244,,0.1,1,,0,0,,20.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0405,,0.01,1,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0215,,0.05,1,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0225,,0.1,1,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.2031,,0.01,1,,0,0,,20.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.7065,,0.05,1,,0,0,,20.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0537,,0.1,1,,0,0,,20.0,1,,0,0,,20.0,1,,0,0,,0,0,,0,0,,20.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.9956,,0.001,1,,0,0,,5.0,1,,0,0,,5.0,1,,1.0,1,,0,0,,0,0,,2.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0093,,0.001,1,,0,0,,5.0,1,,0,0,,5.0,1,,0.5,1,,0,0,,0,0,,2.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
1.0,,0.01,1,,0,0,,5.0,1,,0,0,,5.0,1,,0.5,1,,0,0,,0,0,,2.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.9995,,0.1,1,,0,0,,5.0,1,,0,0,,5.0,1,,1.0,1,,0,0,,0,0,,2.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0186,,0.1,1,,0,0,,5.0,1,,0,0,,5.0,1,,0.5,1,,0,0,,0,0,,2.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.9946,,0.1,1,,0,0,,5.0,1,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,2.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0093,,0.001,1,,0,0,,5.0,1,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,2.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0068,,0.001,1,,0,0,,5.0,1,,0,0,,1.0,1,,0.5,1,,0,0,,0,0,,2.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0088,,0.01,1,,0,0,,5.0,1,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,2.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.3867,,0.01,1,,0,0,,5.0,1,,0,0,,1.0,1,,5.0,1,,0,0,,0,0,,2.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.0332,,0.1,1,,0,0,,5.0,1,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,2.0,1,,0,0,,5.0,1,,0,0,shadow_hand_pen,42
0.9854,,0.001,1,,0,0,,1.0,1,,0,0,,10.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,20.0,1,,0,0,shadow_hand_pen,42
0.999,,0.001,1,,0,0,,1.0,1,,0,0,,10.0,1,,0.5,1,,0,0,,0,0,,1.0,1,,0,0,,20.0,1,,0,0,shadow_hand_pen,42
0.9976,,0.001,1,,0,0,,1.0,1,,0,0,,10.0,1,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,20.0,1,,0,0,shadow_hand_pen,42
0.021,,0.01,1,,0,0,,1.0,1,,0,0,,10.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,20.0,1,,0,0,shadow_hand_pen,42
0.0225,,0.01,1,,0,0,,1.0,1,,0,0,,10.0,1,,0.5,1,,0,0,,0,0,,1.0,1,,0,0,,20.0,1,,0,0,shadow_hand_pen,42
0.9937,,0.01,1,,0,0,,1.0,1,,0,0,,10.0,1,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,20.0,1,,0,0,shadow_hand_pen,42
0.9556,,0.1,1,,0,0,,1.0,1,,0,0,,10.0,1,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,20.0,1,,0,0,shadow_hand_pen,42
1.0,,0.1,1,,0,0,,1.0,1,,0,0,,10.0,1,,0.5,1,,0,0,,0,0,,1.0,1,,0,0,,20.0,1,,0,0,shadow_hand_pen,42
0.9976,,0.1,1,,0,0,,1.0,1,,0,0,,10.0,1,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,20.0,1,,0,0,shadow_hand_pen,42
0.9956,,0.001,1,,0,0,,10.0,1,,0,0,,5.0,1,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.8027,,0.001,1,,0,0,,10.0,1,,0,0,,5.0,1,,0.5,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.1001,,0.1,1,,0,0,,10.0,1,,0,0,,5.0,1,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.9976,,0.1,1,,0,0,,10.0,1,,0,0,,5.0,1,,0.5,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.9541,,0.1,1,,0,0,,10.0,1,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,shadow_hand_pen,42
0.0068,,0.01,1,,0,0,,10.0,1,,0,0,,10.0,1,,20.0,1,,1.0,1,,0,0,,5.0,1,,0,0,,2.0,1,,10.0,1,shadow_hand_pen,42
0.0088,,0.05,1,,0,0,,10.0,1,,0,0,,10.0,1,,20.0,1,,1.0,1,,0,0,,5.0,1,,0,0,,2.0,1,,5.0,1,shadow_hand_pen,42
0.0078,,0.1,1,,0,0,,10.0,1,,0,0,,10.0,1,,20.0,1,,1.0,1,,0,0,,5.0,1,,0,0,,2.0,1,,20.0,1,shadow_hand_pen,42
0.002,,0.01,1,,0,0,,10.0,1,,0,0,,5.0,1,,20.0,1,,1.0,1,,0,0,,5.0,1,,0,0,,1.0,1,,10.0,1,shadow_hand_pen,42
0.019,,0.1,1,,0,0,,10.0,1,,0,0,,5.0,1,,20.0,1,,1.0,1,,0,0,,5.0,1,,0,0,,1.0,1,,20.0,1,shadow_hand_pen,42
0.8062,,0.01,1,,0,0,,10.0,1,,0,0,,20.0,1,,20.0,1,,1.0,1,,0,0,,5.0,1,,0,0,,5.0,1,,10.0,1,shadow_hand_pen,42
0.6196,,0.05,1,,0,0,,10.0,1,,0,0,,20.0,1,,20.0,1,,1.0,1,,0,0,,5.0,1,,0,0,,5.0,1,,5.0,1,shadow_hand_pen,42
0.7295,,0.1,1,,0,0,,10.0,1,,0,0,,20.0,1,,20.0,1,,1.0,1,,0,0,,5.0,1,,0,0,,5.0,1,,20.0,1,shadow_hand_pen,42
0.9937,,0.01,1,,0,0,,10.0,1,,0,0,,10.0,1,,10.0,1,,0.5,1,,0,0,,5.0,1,,0,0,,2.0,1,,10.0,1,shadow_hand_pen,42
0.0029,,0.05,1,,0,0,,10.0,1,,0,0,,10.0,1,,10.0,1,,0.5,1,,0,0,,5.0,1,,0,0,,2.0,1,,5.0,1,shadow_hand_pen,42
