score,r_alignment_reward,w_alignment_reward,active_alignment_reward,r_approach_reward,w_approach_reward,active_approach_reward,r_contact_reward,w_contact_reward,active_contact_reward,r_goal_reward,w_goal_reward,active_goal_reward,r_handle_reward,w_handle_reward,active_handle_reward,r_orientation_reward,w_orientation_reward,active_orientation_reward,r_progress_reward,w_progress_reward,active_progress_reward,r_push_reward,w_push_reward,active_push_reward,r_success_bonus,w_success_bonus,active_success_bonus,r_success_reward,w_success_reward,active_success_reward,r_velocity_reward,w_velocity_reward,active_velocity_reward,env_id,seed
0.007,,0,0,,0,0,,0.05,1,,0.1,1,,0.2,1,,0.5,1,,0,0,,0,0,,0,0,,1.0,1,,0.2,1,shadow_hand_push_block,42
0.0067,,0,0,,0,0,,0.05,1,,0.1,1,,0.2,1,,0.5,1,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,shadow_hand_push_block,42
0.0091,,0,0,,0,0,,0.05,1,,0.1,1,,0.2,1,,0.1,1,,0,0,,0,0,,0,0,,1.0,1,,0.2,1,shadow_hand_push_block,42
0.0104,,0,0,,0,0,,0.05,1,,0.1,1,,0.2,1,,0.1,1,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,shadow_hand_push_block,42
0.0005,,0,0,,0,0,,0.01,1,,0.1,1,,0.2,1,,0.5,1,,0,0,,0,0,,0,0,,1.0,1,,0.2,1,shadow_hand_push_block,42
0.0011,,0,0,,0,0,,0.01,1,,0.1,1,,0.2,1,,0.5,1,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,shadow_hand_push_block,42
0.0122,,0,0,,0,0,,0.01,1,,0.1,1,,0.2,1,,0.1,1,,0,0,,0,0,,0,0,,1.0,1,,0.2,1,shadow_hand_push_block,42
0.0007,,0,0,,0,0,,0.01,1,,0.1,1,,0.2,1,,0.1,1,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,shadow_hand_push_block,42
0.0047,,0,0,,0,0,,0.05,1,,0.1,1,,0.1,1,,0.5,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,shadow_hand_push_block,42
0.0068,,0,0,,0,0,,0.05,1,,0.1,1,,0.1,1,,0.5,1,,0,0,,0,0,,0,0,,0.2,1,,0.1,1,shadow_hand_push_block,42
0.0161,,0,0,,0,0,,0.05,1,,0.1,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,shadow_hand_push_block,42
0.0042,,0,0,,0,0,,0.05,1,,0.1,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0.2,1,,0.1,1,shadow_hand_push_block,42
0.009,,0,0,,0,0,,0.01,1,,0.1,1,,0.1,1,,0.5,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,shadow_hand_push_block,42
0.0055,,0,0,,0,0,,0.01,1,,0.1,1,,0.1,1,,0.5,1,,0,0,,0,0,,0,0,,0.2,1,,0.1,1,shadow_hand_push_block,42
0.0151,,0,0,,0,0,,0.01,1,,0.1,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,shadow_hand_push_block,42
0.0038,,0,0,,0,0,,0.01,1,,0.1,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0.2,1,,0.1,1,shadow_hand_push_block,42
0.0003,,0,0,,0,0,,0.05,1,,0.05,1,,0.1,1,,0.5,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,shadow_hand_push_block,42
0.0164,,0,0,,0,0,,0.05,1,,0.05,1,,0.1,1,,0.5,1,,0,0,,0,0,,0,0,,0.2,1,,0.1,1,shadow_hand_push_block,42
0.014,,0,0,,0,0,,0.05,1,,0.05,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,shadow_hand_push_block,42
0.0028,,0,0,,0,0,,0.05,1,,0.05,1,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0.2,1,,0.1,1,shadow_hand_push_block,42
0.038,,0,0,,0,0,,0.01,1,,0.05,1,,0.1,1,,0.5,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,shadow_hand_push_block,42
