score,r_alignment_reward,w_alignment_reward,active_alignment_reward,r_angular_reward,w_angular_reward,active_angular_reward,r_balance_reward,w_balance_reward,active_balance_reward,r_contact_reward,w_contact_reward,active_contact_reward,r_orientation_reward,w_orientation_reward,active_orientation_reward,r_progress_reward,w_progress_reward,active_progress_reward,r_proximity_reward,w_proximity_reward,active_proximity_reward,r_success_reward,w_success_reward,active_success_reward,r_symmetry_reward,w_symmetry_reward,active_symmetry_reward,env_id,seed
0.0883,,0,0,,2.0,1,,2.0,1,,10.0,1,,2.0,1,,0.1,1,,5.0,1,,1.0,1,,0,0,shadow_hand_re_orientation,42
0.0944,,0,0,,2.0,1,,1.0,1,,10.0,1,,2.0,1,,0.1,1,,5.0,1,,1.0,1,,0,0,shadow_hand_re_orientation,42
0.0758,,0,0,,2.0,1,,5.0,1,,10.0,1,,2.0,1,,0.1,1,,5.0,1,,1.0,1,,0,0,shadow_hand_re_orientation,42
0.0723,,0,0,,2.0,1,,2.0,1,,10.0,1,,2.0,1,,0.5,1,,5.0,1,,0.5,1,,0,0,shadow_hand_re_orientation,42
0.0667,,0,0,,2.0,1,,1.0,1,,10.0,1,,2.0,1,,0.5,1,,5.0,1,,0.5,1,,0,0,shadow_hand_re_orientation,42
0.1026,,0,0,,2.0,1,,5.0,1,,10.0,1,,2.0,1,,0.5,1,,5.0,1,,0.5,1,,0,0,shadow_hand_re_orientation,42
0.0767,,0,0,,2.0,1,,2.0,1,,10.0,1,,2.0,1,,1.0,1,,5.0,1,,5.0,1,,0,0,shadow_hand_re_orientation,42
0.0883,,0,0,,2.0,1,,1.0,1,,10.0,1,,2.0,1,,1.0,1,,5.0,1,,5.0,1,,0,0,shadow_hand_re_orientation,42
0.1048,,0,0,,2.0,1,,5.0,1,,10.0,1,,2.0,1,,1.0,1,,5.0,1,,5.0,1,,0,0,shadow_hand_re_orientation,42
0.0646,,0,0,,2.0,1,,2.0,1,,5.0,1,,2.0,1,,0.1,1,,1.0,1,,1.0,1,,0,0,shadow_hand_re_orientation,42
0.0655,,0,0,,2.0,1,,1.0,1,,5.0,1,,2.0,1,,0.1,1,,1.0,1,,1.0,1,,0,0,shadow_hand_re_orientation,42
0.1065,,0,0,,2.0,1,,5.0,1,,5.0,1,,2.0,1,,0.1,1,,1.0,1,,1.0,1,,0,0,shadow_hand_re_orientation,42
0.0948,,0,0,,2.0,1,,2.0,1,,5.0,1,,2.0,1,,0.5,1,,1.0,1,,0.5,1,,0,0,shadow_hand_re_orientation,42
0.0628,,0,0,,2.0,1,,1.0,1,,5.0,1,,2.0,1,,0.5,1,,1.0,1,,0.5,1,,0,0,shadow_hand_re_orientation,42
0.0912,,0,0,,2.0,1,,5.0,1,,5.0,1,,2.0,1,,0.5,1,,1.0,1,,0.5,1,,0,0,shadow_hand_re_orientation,42
0.1247,,0,0,,2.0,1,,2.0,1,,5.0,1,,2.0,1,,1.0,1,,1.0,1,,5.0,1,,0,0,shadow_hand_re_orientation,42
0.1188,,0,0,,2.0,1,,1.0,1,,5.0,1,,2.0,1,,1.0,1,,1.0,1,,5.0,1,,0,0,shadow_hand_re_orientation,42
0.0985,,0,0,,2.0,1,,5.0,1,,5.0,1,,2.0,1,,1.0,1,,1.0,1,,5.0,1,,0,0,shadow_hand_re_orientation,42
0.0696,,0,0,,1.0,1,,2.0,1,,20.0,1,,1.0,1,,0.5,1,,10.0,1,,1.0,1,,0,0,shadow_hand_re_orientation,42
