score,r_distance_reward,w_distance_reward,active_distance_reward,r_fingertip_reward,w_fingertip_reward,active_fingertip_reward,r_goal_reward,w_goal_reward,active_goal_reward,r_grasp_reward,w_grasp_reward,active_grasp_reward,r_grip_reward,w_grip_reward,active_grip_reward,r_hand_pos_reward,w_hand_pos_reward,active_hand_pos_reward,r_hand_scissors_reward,w_hand_scissors_reward,active_hand_scissors_reward,r_handle_distance_reward,w_handle_distance_reward,active_handle_distance_reward,r_handle_grasp_reward,w_handle_grasp_reward,active_handle_grasp_reward,r_handle_reward,w_handle_reward,active_handle_reward,r_left_fingers_pos_reward,w_left_fingers_pos_reward,active_left_fingers_pos_reward,r_left_hand_pos_reward,w_left_hand_pos_reward,active_left_hand_pos_reward,r_left_handle_reward,w_left_handle_reward,active_left_handle_reward,r_open_reward,w_open_reward,active_open_reward,r_orientation_reward,w_orientation_reward,active_orientation_reward,r_pos_reward,w_pos_reward,active_pos_reward,r_right_fingers_pos_reward,w_right_fingers_pos_reward,active_right_fingers_pos_reward,r_right_hand_pos_reward,w_right_hand_pos_reward,active_right_hand_pos_reward,r_right_handle_reward,w_right_handle_reward,active_right_handle_reward,r_rot_reward,w_rot_reward,active_rot_reward,r_scissors_goal_reward,w_scissors_goal_reward,active_scissors_goal_reward,r_scissors_open_reward,w_scissors_open_reward,active_scissors_open_reward,r_scissors_opening_reward,w_scissors_opening_reward,active_scissors_opening_reward,r_task_success_bonus,w_task_success_bonus,active_task_success_bonus,r_time_penalty,w_time_penalty,active_time_penalty,r_vel_penalty,w_vel_penalty,active_vel_penalty,env_id,seed
0.9999951,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,3.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.9811419,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,3.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.99987924,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.99936295,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.9996992,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,3.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.99997735,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.99996936,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.9985994,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,4.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.99911517,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.999984,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,3.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.9945521,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.9978872,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,3.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.99724305,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
0.9996841,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,3.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0,0,shadow_hand_scissors,42
